user_address,user_num,user_man,user_woman,weibo_num,fans_num,atten_num
河北,493,287,206,2163982,4421478,497093
山西,212,145,67,838514,2527920,188329
辽宁,673,444,229,1966682,11467653,563290
吉林,284,181,103,920342,3390703,239107
黑龙江,382,237,145,1123787,3819813,313911
江苏,1737,1120,617,5634102,30072388,1416145
浙江,1940,1269,671,4596275,32635679,1388464
安徽,484,305,179,1772789,4173697,379473
福建,1376,942,434,3334625,18663454,1014630
江西,317,211,106,984190,5308873,227327
山东,1020,660,360,3728068,17107487,1042213
河南,627,446,181,1636314,10097107,513124
湖北,925,561,364,2176591,9535061,612282
湖南,654,410,244,1990082,8724641,533920
广东,5650,3920,1730,14676741,149307474,3987785
海南,202,140,62,668666,3614919,147329
四川,1038,743,295,2560866,14496754,720245
贵州,230,147,83,581725,2172352,180087
云南,353,249,104,939332,5206674,249737
陕西,595,343,252,1828021,5776901,467167
甘肃,149,88,61,559902,1348423,152932
青海,72,47,25,143917,1115440,55306
台湾,118,58,60,300541,3773627,110711
内蒙古,177,121,56,554552,1248375,137825
广西,395,259,136,1149677,4656273,315638
西藏,39,24,15,79868,650580,29164
宁夏,84,60,24,232967,367756,57513
新疆,205,136,69,531939,1692558,175314
香港,196,106,90,543636,8271436,162997
澳门,47,21,26,144904,876784,29565
北京,5457,3455,2002,17194322,173063907,4219537
天津,498,286,212,1724276,6065782,437818
重庆,498,317,181,1472113,6538086,352788
上海,3918,2159,1759,14959132,105792541,3260038
海外,1147,694,453,3036233,28892738,674138
其他,882,505,377,2851512,18561882,556716
