m	FALSE	其他	398	6462	743
m	FALSE	宁夏	185	4125	344
m	FALSE	海外	667	11234	3038
m	FALSE	天津	1943	2244	26130
m	FALSE	广东	1996	6829	579
m	FALSE	其他	121	7517	594
m	FALSE	北京	69	5354	332
m	FALSE	北京	194	2187	2011
m	FALSE	江西	111	11443	1
m	FALSE	上海	1997	43611	2635
m	FALSE	其他	990	3919	1510
f	FALSE	河北	1072	4694	186
f	FALSE	河南	1957	15166	833
f	FALSE	其他	1803	2054	246
m	FALSE	广东	1803	2006	25
m	FALSE	广东	1733	59082	4616
f	FALSE	上海	1094	250522	2954
m	FALSE	广东	53	3250	36
f	FALSE	江苏	1825	4748	880
m	FALSE	北京	1998	4174	5078
m	FALSE	广东	1159	17860	3380
m	FALSE	北京	1697	24477	1736
m	TRUE	四川	872	292552	11189
f	FALSE	其他	1520	2443	29
m	FALSE	其他	577	23698	1976
m	FALSE	重庆	1525	4421	5329
f	FALSE	澳门	198	2639	206
m	FALSE	浙江	1676	2288	1184
m	FALSE	浙江	1292	3466	78
f	FALSE	广东	1943	10156	1723
f	FALSE	上海	90	9424	166
m	TRUE	山西	492	196775	7787
m	TRUE	甘肃	73	11165	94
f	FALSE	上海	1531	9395	507
f	FALSE	山东	1641	2104	491
m	FALSE	上海	263	2440	84
m	FALSE	四川	251	10411	89
m	TRUE	北京	159	11575	664
m	FALSE	安徽	346	4937	208
m	FALSE	安徽	1241	11152	1842
m	FALSE	辽宁	221	6809	859
m	FALSE	北京	242	9899	673
m	FALSE	福建	227	13180	103
m	FALSE	云南	137	3950	694
m	FALSE	江苏	6	2379	12
f	FALSE	山西	560	3107	491
m	FALSE	其他	94	2863	6
f	FALSE	其他	119	6245	746
f	FALSE	山东	1094	28106	1168
m	FALSE	湖北	17	11232	821
m	FALSE	北京	225	7401	460
m	FALSE	四川	123	2500	198
m	FALSE	新疆	1082	6136	837
f	FALSE	其他	343	2848	227
m	FALSE	广东	177	7527	61
m	FALSE	香港	57	2553	413
m	FALSE	福建	523	2142	232
m	FALSE	福建	291	104588	240
m	FALSE	山东	1937	4993	325
m	FALSE	广东	86	3208	190
f	FALSE	广东	30	237744	3079
m	FALSE	新疆	1990	2291	2238
m	FALSE	台湾	1634	2680	1451
f	FALSE	江苏	1701	2275	727
f	FALSE	北京	1895	2032	31
f	FALSE	其他	1711	2138	495
m	FALSE	北京	1685	3067	337
m	FALSE	广东	56	2940	289
m	TRUE	湖南	1882	507075	20524
m	FALSE	上海	1902	4306	145
m	FALSE	广东	2	111056	417
f	FALSE	广东	211	2104	1235
f	FALSE	广东	289	8214	2661
f	FALSE	浙江	414	300011	12769
m	TRUE	河北	129	12572	3438
f	FALSE	上海	187	10471	59
m	FALSE	重庆	190	6369	116
f	FALSE	其他	339	7116	3221
m	FALSE	四川	468	2358	618
m	FALSE	北京	1968	14892	476
m	FALSE	浙江	124	10386	306
m	FALSE	广东	599	4015	2286
m	FALSE	辽宁	1828	2355	74
m	FALSE	北京	1965	11773	317
m	FALSE	广东	289	13996	2608
m	TRUE	北京	1493	6774	597
f	FALSE	四川	106	3578	816
m	FALSE	上海	285	2979	494
m	FALSE	河北	699	5127	295
f	FALSE	辽宁	1919	17552	499
m	FALSE	四川	165	5067	822
m	FALSE	湖北	307	2533	342
m	FALSE	湖北	127	3692	135
m	FALSE	广西	72	2143	67
m	FALSE	安徽	266	4822	2660
m	FALSE	陕西	886	5233	470
m	FALSE	北京	181	21367	204
m	FALSE	广东	101	13265	114
m	FALSE	浙江	95	2803	400
f	TRUE	北京	106	3562	22
f	TRUE	北京	687	7080	5260
f	FALSE	浙江	146	2708	1493
m	FALSE	香港	103	13900	1007
f	TRUE	江苏	326	4375	460
m	TRUE	北京	1608	2162	210
f	FALSE	浙江	1998	3138	1369
m	FALSE	河南	676	13228	2399
f	FALSE	北京	233	5697	1681
m	TRUE	江苏	360	8675	1048
m	FALSE	浙江	11	4487	1334
f	FALSE	江苏	362	7726	708
m	TRUE	北京	250	3444	2912
f	FALSE	上海	470	8201	3959
m	FALSE	海外	569	3798	1028
f	FALSE	浙江	1659	2007	1961
f	FALSE	广东	1768	4723	786
m	FALSE	上海	1111	2124	4123
m	FALSE	北京	1822	2132	1638
m	TRUE	北京	43	2753	600
m	FALSE	其他	1847	2364	3345
m	FALSE	吉林	377	2090	28
